Country,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Population,Cases / Million People,Confirmed last week,1 week change,1 week % increase
Afghanistan,4033,115,502,3416,255,2.85,12.45,22.91,38928341,104.0,9216,4443,48.21
Albania,856,31,627,198,6,3.62,73.25,4.94,2877800,297.0,981,118,12.03
Algeria,5558,494,2546,2518,189,8.89,45.81,19.4,43851043,127.0,7918,1216,15.36
Andorra,754,48,545,161,2,6.37,72.28,8.81,77265,9759.0,762,2,0.26
Angola,43,2,13,28,0,4.65,30.23,15.38,32866268,1.0,60,21,35.0
Antigua and Barbuda,25,3,19,3,0,12.0,76.0,15.79,97928,255.0,25,0,0.0
Argentina,5776,300,1728,3748,165,5.19,29.92,17.36,45195777,128.0,10649,4770,44.79
Armenia,3175,44,1267,1864,146,1.39,39.91,3.47,2963234,1071.0,5928,2748,46.36
Australia,6939,97,6141,701,21,1.4,88.5,1.58,50919400,136.0,7099,85,1.2
Austria,15833,615,13928,1290,59,3.88,87.97,4.42,9006400,1758.0,16436,219,1.33
Azerbaijan,2422,31,1620,771,143,1.28,66.89,1.91,10139175,239.0,3855,1134,29.42
Bahamas,92,11,37,44,0,11.96,40.22,29.73,393248,234.0,97,5,5.15
Bahrain,4774,8,2055,2711,330,0.17,43.05,0.39,1701583,2806.0,8414,2035,24.19
Bangladesh,13770,214,2414,11142,636,1.55,17.53,8.86,164689383,84.0,30205,12639,41.84
Barbados,84,7,57,20,1,8.33,67.86,12.28,287371,292.0,90,2,2.22
Belarus,22052,126,6050,15876,951,0.57,27.44,2.08,9449321,2334.0,34303,6461,18.84
Belgium,52596,8581,13411,30604,585,16.31,25.5,63.98,11589616,4538.0,56511,1550,2.74
Belize,18,2,16,0,0,11.11,88.89,12.5,397621,45.0,18,0,0.0
Benin,284,2,62,220,42,0.7,21.83,3.23,12123198,23.0,135,89,65.93
Bhutan,7,0,5,2,0,0.0,71.43,0.0,771612,9.0,21,10,47.62
Bolivia,2437,114,258,2065,171,4.68,10.59,44.19,11673029,209.0,5579,3152,56.5
Bosnia and Herzegovina,2090,102,1059,929,20,4.88,50.67,9.63,3280815,637.0,2372,113,4.76
Botswana,23,1,12,10,0,4.35,52.17,8.33,2351625,10.0,30,5,16.67
Brazil,156061,10656,61685,83720,9167,6.83,39.53,17.27,422706534,369.0,330890,134276,40.58
Brunei,141,1,132,8,0,0.71,93.62,0.76,437483,322.0,141,0,0.0
Bulgaria,1921,90,422,1409,49,4.69,21.97,21.33,6948445,276.0,2372,113,4.76
Burkina Faso,748,48,569,131,4,6.42,76.07,8.44,20903278,36.0,814,33,4.05
Burma,178,6,68,104,1,3.37,38.2,8.82,54409800,3.0,199,8,4.02
Burundi,15,1,7,7,0,6.67,46.67,14.29,11890781,1.0,42,0,0.0
Cabo Verde,236,2,56,178,6,0.85,23.73,3.57,555988,424.0,362,43,11.88
Cambodia,122,0,120,2,0,0.0,98.36,0.0,16718971,7.0,123,1,0.81
Cameroon,2274,108,1232,934,7,4.75,54.18,8.77,26545864,86.0,4400,1036,23.55
Canada,68918,4823,31262,32833,1244,7.0,45.36,15.43,75711404,910.0,83947,6962,8.29
Central African Republic,143,0,10,133,0,0.0,6.99,0.0,4829764,30.0,479,395,82.46
Chad,322,31,53,238,62,9.63,16.46,58.49,16425859,20.0,611,148,24.22
Chile,27219,304,12667,14248,1247,1.12,46.54,2.4,36690212,742.0,61857,28781,46.53
China,83990,4637,79127,226,14,5.52,94.21,5.86,-2147483648,-39.0,84081,42,0.05
Colombia,10495,445,2569,7481,444,4.24,24.48,17.32,99141018,106.0,19131,6275,32.8
Comoros,11,1,0,10,3,9.09,0.0,inf,869595,13.0,78,9,11.54
Congo (Brazzaville),274,10,33,231,0,3.65,12.04,30.3,89561403,3.0,469,102,21.75
Congo (Kinshasa),937,39,130,768,0,4.16,13.87,30.0,5518087,170.0,1945,888,45.66
Costa Rica,780,6,480,294,7,0.77,61.54,1.25,5094114,153.0,911,111,12.18
Cote d'Ivoire,1667,21,769,877,65,1.26,46.13,2.73,26378274,63.0,2341,409,17.47
Croatia,2176,87,1726,363,15,4.0,79.32,5.04,4105268,530.0,2243,2,0.09
Cuba,1754,74,1140,540,13,4.22,64.99,6.49,11326616,155.0,1916,89,4.65
Cyprus,892,15,401,476,1,1.68,44.96,3.74,1207361,739.0,927,15,1.62
Czechia,8095,276,4447,3372,18,3.41,54.94,6.21,10708981,756.0,8813,383,4.35
Denmark,10517,526,8291,1700,101,5.0,78.83,6.34,5897840,1783.0,11428,365,3.19
Diamond Princess,712,13,645,54,0,1.83,90.59,2.02,0,inf,712,0,0.0
Djibouti,1189,3,834,352,54,0.25,70.14,0.36,988002,1203.0,2270,644,28.37
Dominica,16,0,14,2,0,0.0,87.5,0.0,71991,222.0,16,0,0.0
Dominican Republic,9882,385,2584,6913,506,3.9,26.15,14.9,10847904,911.0,13989,2542,18.17
Ecuador,29071,1717,3433,23921,253,5.91,11.81,50.01,17643060,1648.0,35828,2743,7.66
Egypt,8964,514,2002,6448,488,5.73,22.33,25.67,102334403,88.0,15786,6296,39.88
El Salvador,784,17,276,491,42,2.17,35.2,6.16,6486201,121.0,1725,553,32.06
Equatorial Guinea,439,4,13,422,0,0.91,2.96,30.77,1402985,313.0,960,346,36.04
Eritrea,39,0,37,2,0,0.0,94.87,0.0,3546427,11.0,39,0,0.0
