Date,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,No. of Countries
3/14/20,156120,5832,72622,77666,10895,3.74,46.52,8.03,134
3/15/20,167507,6473,76032,85002,11387,3.86,45.39,8.51,138
3/16/20,181653,7151,78086,96416,14146,3.94,42.99,9.16,143
3/17/20,197150,7957,80838,108355,15497,4.04,41.0,9.84,146
3/18/20,214873,8824,83310,122739,17723,4.11,38.77,10.59,150
3/19/20,242632,9947,84973,147712,27759,4.1,35.02,11.71,154
3/2/20,90306,3085,45602,41619,0,3.42,50.5,6.77,73
3/20/20,272264,11423,87418,173423,181958,4.2,32.11,13.07,161
3/21/20,304580,13125,91690,199765,32316,4.31,30.1,14.31,163
3/22/20,337022,14826,97897,224299,32442,4.4,29.05,15.14,168
3/23/20,378301,16759,98349,263193,41279,4.43,26.0,17.04,169
3/24/20,418295,19017,107998,291280,40009,4.55,25.82,17.61,171
3/25/20,467817,21789,113784,332244,49522,4.66,24.32,19.15,174
3/26/20,529722,24788,122147,382787,61905,4.68,23.06,20.29,175
3/27/20,593764,28292,130912,434560,64042,4.76,22.05,21.61,176
3/28/20,661174,31811,139412,489951,67410,4.81,21.09,22.82,177
3/29/20,720291,35323,148832,536136,59117,4.9,20.66,23.73,177
3/3/20,92840,3160,48228,41452,0,3.4,51.95,6.55,77
3/30/20,782816,39443,164316,579057,689976,5.04,20.99,24.0,178
3/31/20,857608,44238,177784,635586,74792,5.16,20.73,24.88,180
3/4/20,95120,3254,51170,40696,0,3.42,53.8,6.36,81
3/5/20,97888,3347,53796,40745,2768,3.42,54.96,6.22,85
3/6/20,101806,3459,55865,42482,3918,3.4,54.87,6.19,94
3/7/20,105848,3558,58358,43932,4042,3.36,55.13,6.1,95
3/8/20,109822,3801,60694,45327,3974,3.46,55.27,6.26,100
3/9/20,113595,3987,62494,47114,3773,3.51,55.01,6.38,103
4/1/20,933010,49685,192948,690377,819415,5.33,20.68,25.75,180
4/10/20,1658261,108137,375854,1174270,725251,6.52,22.67,28.77,185
4/11/20,1736412,114170,401870,1220372,78151,6.58,23.14,28.41,185
4/12/20,1835145,119853,421472,1293820,98754,6.53,22.97,28.44,185
